Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost per review, for a specific care scenario",Per event,Local Authority,Children's Services,691.6690062,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - weekly legal costs, for a specific care scenario",Per week,Local Authority,Children's Services,24.87348157,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (median cost, for children with emotional or behavioural difficulties) - cost of finding subsequent placement, for a specific care scenario",Per event,Local Authority,Children's Services,311.2510528,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care: high cost, for children with emotional or behavioural difficulties and offending behaviour - overall cost, for a specific care scenario",Per child,Local Authority,Children's Services,486833.8903,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost per care planning process, for a specific care scenario",Per event,Local Authority,Children's Services,400.369944,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - total cost of maintaining the placement, for a specific care scenario",Per child,Local Authority,Children's Services,362111.337,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost per review, for a specific care scenario",Per event,Local Authority,Children's Services,2380.937541,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - cost of finding subsequent placement, for a specific care scenario",Per child,Local Authority,Children's Services,1312.249809,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (high cost, for children with emotional or behavioural difficulties and offending behaviour) - costs of ceasing being looked after, for a specific care scenario",Per event,Local Authority,Children's Services,400.369944,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care: very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour - overall cost, for a specific care scenario",Per child,Local Authority,Children's Services,727103.7414,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - cost per care planning process, for a specific care scenario",Per event,Local Authority,Children's Services,316.5715836,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - total cost of maintaining the placement, for a specific care scenario",Per child,Local Authority,Children's Services,680823.1041,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - cost per review, for a specific care scenario",Per event,Local Authority,Children's Services,1769.076497,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - cost of finding subsequent placements, for a specific care scenario",Per child,Local Authority,Children's Services,3158.732639,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - weekly legal costs, for a specific care scenario",Per week,Local Authority,Children's Services,12.90228723,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child taken into care (very high cost, for children with disabilities, emotional or behavioural difficulties, and offending behaviour) - cost of transition to leaving care, for a specific care scenario",Per event,Local Authority,Children's Services,1766.416231,,,"Costs and Consequences of Placing Children in Care (Ward et al, 2008), quoted in Unit Costs of Health and Social Care 2011 (Curtis, 2011), p.120"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child into local authority foster care: overall cost (cost per week) Note: excluding social care support directly related to fostered children (see SS2.0.3), but including additional services including education (SS2.0.2)",Per week,Local Authority,Children's Services,710.1155398,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p73"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child into local authority foster care (cost per week): boarding out allowances, administration and the cost of social worker / staff support to foster carers",Per week,Local Authority,Children's Services,695.0752712,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p73"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,"Child into local authority foster care (cost per week): other services, including education",Per week,Local Authority,Children's Services,15.04026862,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p73"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,Child into local authority foster care (cost per week): social services (including cost of social worker and support relating directly to the fostered child),Per week,Local Authority,Children's Services,292.5730181,,,"Unit Costs of Health & Social Care 2014 (Curtis, 2014), p.88"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,Cost per session of basic core training for foster carers and their families,Per session,Local Authority,Children's Services,60.51919311,,,"Update to the Cost of Foster Care (The Fostering Network, 2010), p.17"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,Local authority own-provision residential care home for children - cost per week,Per week,Local Authority,Children's Services,5434.908496,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.71"
SOCIAL SERVICES,LOOKED AFTER CHILDREN,Voluntary and private sector residential care home for children - cost per week,Per week,Local Authority,Children's Services,4667.854797,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.72"
SOCIAL SERVICES,CHILD PROTECTION,Application for Child Protection Section 31 Care Order: overall cost,Each,Criminal Justice System,,37422.50624,,,"Review of the Childcare Proceedings System in England and Wales (DfES/DCA, 2006)"
SOCIAL SERVICES,CHILD PROTECTION,Application for Child Protection Section 31 Care Order: legal aid costs,Each,Criminal Justice System,Legal aid,22453.50374,,,"Review of the Childcare Proceedings System in England and Wales (DfES/DCA, 2006)"
SOCIAL SERVICES,CHILD PROTECTION,Application for Child Protection Section 31 Care Order: local authority costs,Each,Local Authority,Children's Services,9355.626559,,,"Review of the Childcare Proceedings System in England and Wales (DfES/DCA, 2006)"
SOCIAL SERVICES,CHILD PROTECTION,Application for Child Protection Section 31 Care Order: court costs,Each,Criminal Justice System,Court,1871.125312,,,"Review of the Childcare Proceedings System in England and Wales (DfES/DCA, 2006)"
SOCIAL SERVICES,CHILD PROTECTION,Application for Child Protection Section 31 Care Order: Children and Family Court Advisory and Support Service (CAFCASS) costs,Each,Department for Education,CAFCASS,3742.250624,,,"Review of the Childcare Proceedings System in England and Wales (DfES/DCA, 2006)"
SOCIAL SERVICES,CHILDREN IN NEED,Children in Need - average total cost of case management processes over a six month period (standard cost),Per process,Local Authority,Children's Services,1944.965443,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.8"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of initial contact and referral (standard cost)",Per process,Local Authority,Children's Services,255.4827489,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of initial assessment / single assessment (standard cost)",Per process,Local Authority,Children's Services,372.2356181,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of ongoing support, per month (all children)",Per month,Local Authority,Children's Services,256.3298734,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of ongoing support, per month (no additional needs)",Per month,Local Authority,Children's Services,145.9820643,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of ongoing support, per month (under six)",Per month,Local Authority,Children's Services,262.9938383,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Child Protection Plan, case management processes - average cost of ongoing support, per month (all children)",Per month,Local Authority,Children's Services,360.878304,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Child Protection Plan, case management processes - average cost of ongoing support, per month (under six)",Per month,Local Authority,Children's Services,561.1962892,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of ongoing support, per month (emotional or behavioural difficulties)",Per month,Local Authority,Children's Services,272.4377805,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of ongoing support, per month (emotional or behavioural difficulties and one other factor)",Per month,Local Authority,Children's Services,684.0606471,,,"Understanding costs and outcomes in child welfare services (Holmes & McDermid), 2012, London: Jessica Kingsley Publishers."
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of closing a case (standard cost)",Per process,Local Authority,Children's Services,267.8448174,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of core assessment (standard cost)",Per process,Local Authority,Children's Services,803.5344523,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of Child in Need plan review (standard cost)",Per process,Local Authority,Children's Services,304.9310229,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of Section 47 enquiry (standard cost)",Per process,Local Authority,Children's Services,701.890778,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,CHILDREN IN NEED,"Children in Need, case management processes - average cost of Public Law Outline (standard cost)",Per process,Local Authority,Children's Services,3074.034366,,,"Extension of the cost calculator to include cost calculations for all children in need (DfE, 2010), p.7"
SOCIAL SERVICES,ASSESSMENT,Children's Social Care - single assessment,Per incident,Local Authority,Children's Services,855.2785772,,,"Analysis by Oxford University REES Centre (L. Holmes, unpublished). "
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,"Residential care for older people - average gross weekly expenditure per person, England",Per week,Local Authority,Adult Social Services,527.1542531,263.5771265,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 52"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,Local authority own-provision residential care for older people - overall cost per week,Per week,Local Authority,Adult Social Services,1042.075754,441.5393145,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.26"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,Local authority own-provision residential care for older people - cost of buildings and on-costs per week,Per week,Local Authority,Adult Social Services,128.9165882,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.26"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,Local authority own-provision residential care for older people - land costs,Per week,Local Authority,Adult Social Services,30.08053724,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.26"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,Local authority own-provision residential care for older people - revenue costs per week,Per week,Local Authority,Adult Social Services,883.078629,441.5393145,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.26"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a physical support need in residential care, England",Per week,Local authority,Adult Social Services,514.5992098,257.2996049,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a physical support need in nursing care, England",Per week,Local Authority,Adult Social Services,554.8355094,277.4177547,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a physical support need in residential care, England",Per week,Local Authority,Adult Social Services,818.7635755,409.3817878,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a physical support need in nursing care, England",Per week,Local authority,Adult Social Services,716.3035361,358.151768,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a sensory support need in residential care, England",Per week,Local authority,Adult Social Services,508.5186441,254.259322,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a sensory support need in nursing care, England",Per week,Local Authority,Adult Social Services,557.7432946,278.8716473,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a sensory support need in residential care, England",Per week,Local Authority,Adult Social Services,879.1753211,439.5876606,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a sensory support need in nursing care, England",Per week,Local authority,Adult Social Services,506.6636776,253.3318388,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a memory or cognition support need in residential care, England",Per week,Local authority,Adult Social Services,510.1802356,255.0901178,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a memory or cognition support need in nursing care, England",Per week,Local Authority,Adult Social Services,577.3744262,288.6872131,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a memory or cognition support need in residential care, England",Per week,Local Authority,Adult Social Services,659.4441586,329.7220793,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a memory or cognition support need in nursing care, England",Per week,Local authority,Adult Social Services,792.572022,396.286011,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a learning disability in residential care, England",Per week,Local authority,Adult Social Services,806.5666339,403.2833169,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a learning disability in nursing care, England",Per week,Local Authority,Adult Social Services,654.4450598,327.2225299,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a learning disability in residential care, England",Per week,Local Authority,Adult Social Services,1208.242074,604.1210372,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a learning disability in nursing care, England",Per week,Local authority,Adult Social Services,1035.78749,517.8937448,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a mental health support need in residential care, England",Per week,Local authority,Adult Social Services,489.9188452,244.9594226,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting older adults (65+) with a mental health support need in nursing care, England",Per week,Local Authority,Adult Social Services,576.242825,288.1214125,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 54"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a mental health support need in residential care, England",Per week,Local Authority,Adult Social Services,710.366211,355.1831055,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULTS WITH SUPPORT NEEDS,"Average gross weekly expenditure on supporting adults (18-64) with a mental health support need in nursing care, England",Per week,Local authority,Adult Social Services,733.2560674,366.6280337,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 53"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,Nursing care for older people - average gross weekly expenditure per person,Per week,Local Authority,NHS,781.599584,281.6970692,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 52 (and NHS website)"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,"Nursing care for older people - average gross weekly expenditure per person, local authority care costs",Per week,Local Authority,Adult Social Services,563.3941384,281.6970692,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 52"
SOCIAL SERVICES,ADULT RESIDENTIAL / NURSING CARE,"Nursing care for older people - average gross weekly expenditure per person, standard NHS nursing care contribution",Per week,NHS,Integrated Care System,218.2045041,,,"What is NHS-funded nursing care? (NHS website, accessed July 2022)"
HEALTH,MENTAL HEALTH,Care homes for adults (18-64) requiring long-term mental health support - average cost per week,Per week,Local Authority,Social Services,1020.589656,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 35"
SOCIAL SERVICES,INTERMEDIATE CARE,"Intermediate care, bed based - average direct cost per service user",Per person ,NHS,Local authority,7198.175122,,,"National Audit of Intermediate Care, 2017, p. 48"
SOCIAL SERVICES,INTERMEDIATE CARE,"Intermediate care, crisis response - average direct cost per service user assessed",Per person ,NHS,Local authority,954.5274973,,,"National Audit of Intermediate Care, 2017, p. 48"
SOCIAL SERVICES,INTERMEDIATE CARE,"Intermediate care, home based - average direct cost per service user",Per person ,NHS,Local authority,1185.013909,,,"National Audit of Intermediate Care, 2017, p. 48"
SOCIAL SERVICES,INTERMEDIATE CARE,"Intermediate care, reablement - average direct cost per service user",Per person ,NHS,Local authority,2415.883754,,,"National Audit of Intermediate Care, 2017, p. 48"
SOCIAL SERVICES,REABLEMENT,Reablement service - average cost per service user for 'functional' reablement,Per case,Local Authority,NHS,1756.488514,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.130"
SOCIAL SERVICES,HOME / COMMUNITY CARE,"Average weekly cost of home care received from local authority in-house provision, England",Per week,Local Authority,Adult Social Services,164.0434936,82.02174682,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 51"
SOCIAL SERVICES,HOME / COMMUNITY CARE,"Average hourly cost of home care received from local authority in-house provision, England",Per hour,Local Authority,Adult Social Services,23.10471741,11.55235871,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 51"
SOCIAL SERVICES,HOME / COMMUNITY CARE,"Average hourly cost of home care received from external providers, England",Per hour,Local Authority,Adult Social Services,13.20678825,6.603394127,,"Adult Social Care Activity and Finance Report, England - 2020-21, Reference Data Tables, Table 51"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Community social care support package for older people per week,Per week,Local Authority,Adult Social Services,363.2272778,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.126"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Community social care support package for people with learning disabilities per week,Per week,Local Authority,Adult Social Services,415.1168889,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.127"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Community social care support package for people with mental health problems per week,Per week,Local Authority,Adult Social Services,573.1991925,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.128"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Community social care support package for people with physical disabilities per week,Per week,Local Authority,Adult Social Services,907.4648268,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.129"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Meals on wheels (average cost per week),Per week,Local Authority,Adult Social Services,38.50746447,19.25373223,,"Unit Costs of Health & Social Care 2014 (Curtis, 2014), p.127"
SOCIAL SERVICES,ADAPTATIONS,"Stair lift, straight (mean cost)",Each,Local Authority,Adult Social Services,2565.076164,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 89"
SOCIAL SERVICES,ADAPTATIONS,Ramp to front/back door (mean total cost),Each,Local Authority,Adult Social Services,420.6906829,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 90"
SOCIAL SERVICES,ADAPTATIONS,"Handrail, external (mean total cost)",Each,Local Authority,Adult Social Services,55.71309044,,,"Unit Costs of Health & Social Care 2020 (Curtis, 2020). p 90"
SOCIAL SERVICES,ADAPTATIONS,Hoist (median total cost),Each,Local Authority,Adult Social Services,3473.710966,,,"Unit Costs of Health and Social Care 2012 (Curtis, 2012), p.111"
SOCIAL SERVICES,ADAPTATIONS,Low level bath (median total cost),Each,Local Authority,Adult Social Services,885.7897447,,,"Unit Costs of Health and Social Care 2012 (Curtis, 2012), p.111"
SOCIAL SERVICES,ADAPTATIONS,NHS wheelchair (powered) - cost per year,Per year,NHS,Clinical Commissioning Group,516.7406576,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.84"
SOCIAL SERVICES,ADAPTATIONS,NHS wheelchair (active user) - cost per year,Per year,NHS,Clinical Commissioning Group,224.5297244,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.84"
SOCIAL SERVICES,ADAPTATIONS,NHS wheelchair (self- or attendant-propelled) - cost per year,Per year,NHS,Clinical Commissioning Group,110.6534048,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.84"
SOCIAL SERVICES,HOME / COMMUNITY CARE,Local authority own-provision day care for older people - cost per session,Per session,Local Authority,Adult Social Services,35.81016338,17.90508169,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.27"
